"ngram1","ngram2","pubyear","count"
"11319","Electric power conversion","Bijection",2011,1
"11320","Power-to-weight ratio","Dimethyl carbonate",2013,1
"11321","Power curve","Eigenvalues and eigenvectors",2015,1
"11322","Wave power","Carbon monoxide",2011,1
"11323","Toughness","Butanone",2014,1
"11324","Water turbine","Power iteration",2015,1
"11325","Reaction (physics)","Electrical load",2010,1
"11326","Optical Fiber Technology","Optical fiber",2012,1
"11327","Mechanical system","Kinetic energy",2012,1
"11328","Wind speed","Aircraft principal axes",2006,1
"11329","Barium oxide","Barium carbonate",2013,1
"11330","Energy supply","Energy storage",2011,1
"11331","Transition metal","Rare earth element",2014,1
"11332","Fluid dynamics","Energy transformation",2008,1
"11333","Torque","Noise reduction",2008,1
"11334","Optimization problem","Cost function",2014,1
"11335","Environmental change","Design",2011,1
"11336","Wind speed","Load management",2011,1
"11337","Parameter (computer programming)","Euler angles",2015,1
"11338","Wireless","Wind direction",2015,1
"11339","Wind speed","Skin friction drag",2015,1
"11340","Vortex generator","Drag (physics)",2008,1
"11341","Electric power transmission","Control System",2009,1
"11342","Relative velocity","Dynamic pressure",2014,1
"11343","Energy technology","Beaufort scale",2015,1
"11344","Shear stress","Rapid construction",2011,1
"11345","Frequency changer","Circuit diagram",2013,1
"11346","Volumetric flow rate","Penetration depth",2006,1
"11347","Electrical energy","Dental notation",2013,1
"11348","Paper machine","Marine propulsion",2013,1
"11349","Power transmission","Helix angle",2012,1
"11350","Secondary source","Primary source",2013,1
"11351","Rotation number","Electric power conversion",2014,1
"11352","Energy transformation","Electricity generation",2013,1
"11353","Helicopter rotor","Flame retardant",2010,1
"11354","Gram-positive bacteria","Clostridium difficile infection",2010,1
"11355","Weighted arithmetic mean","Rotational speed",2011,1
"11356","High voltage","Current sensor",2014,1
"11357","Turbine blade","Fluid dynamics",2013,1
"11358","Electric power system","Buck converter",2013,1
"11359","Water","Energy consumption",2014,1
"11360","Public transport","Linear motor",2006,1
"11361","Fundamental frequency","Electric power system",2011,1
"11362","Wireless mesh network","Data collector",2011,1
"11363","Wind speed","Air mass",2014,1
"11364","Powered aircraft","Drag (physics)",2008,1
"11365","Permanent magnet motor","Electrical energy",2009,1
"11366","Physical vapor deposition","Current collector",2011,1
"11367","Wind speed","Electrical energy",2014,1
"11368","Mass excess","Active Power",2014,1
"11369","Wind power","Hydroxy group",2013,1
"11370","Electricity generation","Complex geometry",2014,1
"11371","Volumetric flow rate","Measuring instrument",2014,1
"11372","Water turbine","Leading edge",2015,1
"11373","Tool wear","Surface finishing",2014,1
"11374","Solar thermal energy","Calcium carbonate",2013,1
"11375","Rotational speed","Duty cycle",2007,1
"11376","Wind speed","Reduction potential",2012,1
"11377","Energy storage","Electricity generation",2013,1
"11378","Power curve","Limit superior and limit inferior",2013,1
"11379","Room temperature","Electric power system",2010,1
"11380","Renewable energy","Hydrogen sulfide",2014,1
"11381","Gear","Cost reduction",2011,1
"11382","Ring structure","Flow Energy",2011,1
"11383","Impact event","Electric vehicle battery",2013,1
"11384","Tension-leg platform","Mooring (watercraft)",2014,1
"11385","Transition state","Power control",2014,1
"11386","Energy development","Beaufort scale",2011,1
"11387","Pulse-width modulation","Inner loop",2012,1
"11388","Electric power distribution","Demand response",2013,1
"11389","Wind power","Power station",2012,1
"11390","Electric power transmission","Electric power quality",2007,1
"11391","Supercritical carbon dioxide","Acetic acid",2011,1
"11392","Feasibility study","Cryogenics",2014,1
"11393","Natural fiber","Coated paper",2006,1
"11394","Three Steps","Solar cell",2009,1
"11395","Industrial applicability","Electricity generation",2011,1
"11396","Hydraulic head","Ammonium carbamate",2014,1
"11397","Power outage","Induction generator",2011,1
"11398","Photovoltaic system","Heat pump",2011,1
"11399","Acoustic emission","002 - Early Stage",2014,1
"11400","Wind power","Feasibility study",2014,1
"11401","Wind speed","Series and parallel circuits",2011,1
"11402","Leading edge","Angle of attack",2011,1
"11403","DC motor","Control System",2008,1
"11404","Heat transfer","Anaerobic digestion",2010,1
"11405","Wind power","C date and time functions",2011,1
"11406","Plant System","Dust storm",2011,1
"11407","Settling time","Industrial applicability",2011,1
"11408","Wind farm","Fundamental frequency",2012,1
"11409","Tympanic cavity","Generation effect",2013,1
"11410","Horizontal and vertical","Convective heat transfer",2014,1
"11411","Semiconductor device","Light-emitting diode",2015,1
"11412","Infusion set","Drug delivery",2010,1
"11413","G2 phase","G1 phase",2014,1
"11414","Vertical orientation","Horizontal and vertical",2014,1
"11415","Hybrid system","Block diagram",2011,1
"11416","Signaling (telecommunications)","Control unit",2011,1
"11417","Manufacturing cost","Automobile drag coefficient",2010,1
"11418","Pressure","Geopotential height",2011,1
"11419","Wind direction","Best, worst and average case",2011,1
"11420","Succinic acid","Sebacic acid",2007,1
"11421","Corynebacterium diphtheriae","Bacillus cereus",2010,1
"11422","Variable speed wind turbine","Utility frequency",2011,1
"11423","Solar cell","Electric power system",2013,1
"11424","Solar thermal energy","Chemical reactor",2014,1
"11425","Electric machine","Car model",2010,1
"11426","System requirements","Modular programming",2011,1
"11427","Tympanic cavity","Mechanical energy",2012,1
"11428","Lorentz force","Bearing (mechanical)",2006,1
"11429","Wind power","Temperature gradient",2011,1
"11430","Signaling (telecommunications)","Rotational speed",2012,1
"11431","Ammonium sulfate","Ammonium nitrate",2014,1
"11432","Normal (geometry)","Inter Alia",2014,1
"11433","Turbine blade","Postgraduate education",2013,1
"11434","Stress (mechanics)","Compressive stress",2014,1
"11435","Tap changer","Phase shift module",2011,1
"11436","Isothermal process","Adiabatic process",2011,1
"11437","Wind power","Sea level",2014,1
"11438","Wind power","Air current",2008,1
"11439","Passive radiator","Electric machine",2010,1
"11440","Induction generator","Electric machine",2013,1
"11441","Power curve","Angular frequency",2013,1
"11442","Lift (force)","Electric machine",2013,1
"11443","Rolling-element bearing","Pressure sensor",2014,1
"11444","Water turbine","Energy transformation",2013,1
"11445","Electricity generation","Electrical energy",2007,1
"11446","Loss given default","Heat exchanger",2015,1
"11447","Volumetric flow rate","Laminar flow",2008,1
"11448","Organic matter","Anaerobic digestion",2011,1
"11449","Wind speed","Wave power",2015,1
"11450","Solar cell","Primary energy",2013,1
"11451","Wind speed","Arc length",2008,1
"11452","Euler angles","Control System",2010,1
"11453","Wind farm","Feature vector",2011,1
"11454","System of measurement","Alternator",2014,1
"11455","Limit superior and limit inferior","Fuel cell",2011,1
"11456","Adhesive bonding","Adhesive",2014,1
"11457","Succinic acid","Glutaric acid",2008,1
"11458","Solar chimney","Atmosphere of Earth",2011,1
"11459","Renewable energy","Exhaust gas",2011,1
"11460","Wireless transmission","Block diagram",2008,1
"11461","Vortex generator","Arc length",2008,1
"11462","Thermometer","Light",2014,1
"11463","Turbine blade","Load management",2013,1
"11464","Turbine blade","Flow Chart",2010,1
"11465","Pulsed DC","Electromagnetic field",2011,1
"11466","Stress concentration","Angle of attack",2011,1
"11467","Porous medium","High pressure",2011,1
"11468","Osmotic power","Geothermal heating",2011,1
"11469","Energy development","Compressed hydrogen",2011,1
"11470","Total internal reflection","Solar cell",2011,1
"11471","Mechanical energy","Linear alternator",2010,1
"11472","Water turbine","Action level",2014,1
"11473","Weather station","Surface roughness",2011,1
"11474","Friar","Current density",2014,1
"11475","Voltage drop","Electric power system",2015,1
"11476","Glutaric acid","Corrosion inhibitor",2007,1
"11477","Electric power system","Boost converter",2013,1
"11478","Wind farm","Electric machine",2009,1
"11479","Lithium–air battery","Galvanic cell",2014,1
"11480","Stainless steel","Galvanic corrosion",2007,1
"11481","Thermal energy","Osmotic power",2014,1
"11482","Fatigue (material)","Boundary layer thickness",2011,1
"11483","Vector control (motor)","Cruise control",2014,1
"11484","Water","Photovoltaic system",2013,1
"11485","Pressure drop","Centrifugal force",2011,1
"11486","Wind power","Rotation number",2011,1
"11487","Grid energy storage","Fuel cell",2011,1
"11488","Inter Alia","Angle of attack",2011,1
"11489","Electric machine","Electrical network",2009,1
"11490","Kinetic energy","Drag coefficient",2015,1
"11491","System bus","Low voltage",2011,1
"11492","System configuration","Full scale",2011,1
"11493","Power module","Energy homeostasis",2011,1
"11494","Wind power","Transition state",2014,1
"11495","Propeller","Epicyclic gearing",2013,1
"11496","Flow Energy","Data processing unit",2012,1
"11497","Wind power","Power curve",2014,1
"11498","Unit operation","Heat Generation",2011,1
"11499","Sunlight","1 (number)",2011,1
"11500","Wind speed","Surface area",2014,1
"11501","Magnetic core","Electric machine",2006,1
"11502","Flow velocity","Energy transformation",2011,1
"11503","Output impedance","Electromotive force",2012,1
"11504","Solar chimney","Electricity generation",2011,1
"11505","Horizontal and vertical","Beaufort scale",2014,1
"11506","View Point","Geomagnetic reversal",2010,1
"11507","Rotational speed","Electricity generation",2010,1
"11508","Order (group theory)","Functional group",2011,1
"11509","Thermal energy","Solar phenomena",2011,1
"11510","Keulegan–Carpenter number","ISO 2145",2011,1
"11511","Surface area","Linear-motion bearing",2011,1
"11512","Field strength","Characteristic class",2011,1
"11513","Wind power","Transmission system operator",2011,1
"11514","Respiratory tract infection","Infective endocarditis",2010,1
"11515","Conductive polymer","Chemical reactor",2011,1
"11516","Wind power","Vanadium redox battery",2014,1
"11517","Turbine blade","Electrical load",2009,1
"11518","Rapid Response","Failure cause",2013,1
"11519","Particle size","Mesh (scale)",2014,1
"11520","Wind speed","Power density",2011,1
"11521","System model","Optimization problem",2014,1
"11522","Wave farm","Tide",2011,1
"11523","Noise barrier","Composite material",2011,1
"11524","System bus","Control System",2013,1
"11525","Power electronics","Electric machine",2014,1
"11526","Fibre optic gyroscope","Anemometer",2014,1
"11527","Thermal radiation","Isothermal process",2011,1
"11528","Ocean","Electric generator",2011,1
"11529","Property damage","Biodegradation",2011,1
"11530","Skin infection","Gram-positive bacteria",2010,1
"11531","Wind power","Potential energy",2011,1
"11532","Wind speed","Room temperature",2014,1
"11533","Stress management","Stress concentration",2010,1
"11534","Storage tank","Electricity generation",2011,1
"11535","Water cooling","Lubricant",2011,1
"11536","Energy transformation","Direct Contact",2014,1
"11537","Energy consumption","Carbon number",2011,1
"11538","Scroll compressor","HVAC",2011,1
"11539","Energy conservation","Drive shaft",2015,1
"11540","Rough set","Knowledge-based systems",2011,1
"11541","Urban area","Turbine",2014,1
"11542","Induction generator","Alternator",2012,1
"11543","Wind speed","Beaufort scale",2007,1
"11544","Control operation","Active Power",2010,1
"11545","Waste oil","Waste heat",2011,1
"11546","Vanadium redox battery","Photovoltaic system",2008,1
"11547","Halbach array","Electromagnetic field",2011,1
"11548","Transposable element","Rotational speed",2015,1
"11549","Phenol formaldehyde resin","Fumed silica",2015,1
"11550","Plating","Electroless plating",2015,1
"11551","Water","Pressure swing adsorption",2011,1
"11552","Mechanical energy","Distilled water",2007,1
"11553","Wireless","Water turbine",2008,1
"11554","Sulfur dioxide","Electrochemistry",2012,1
"11555","Energy storage","Electrolysis of water",2014,1
"11556","Tympanic cavity","Leading edge",2010,1
"11557","Pressure swing adsorption","Carbon dioxide",2011,1
"11558","Bearing surface","Bearing (mechanical)",2014,1
"11559","Radial velocity","Information quality",2015,1
"11560","Mechanical energy","Chemical energy",2011,1
"11561","Common practice period","Air mass",2013,1
"11562","Rotation around a fixed axis","Linear motion",2014,1
"11563","Surface (topology)","Curvature",2015,1
"11564","Urban area","Electrical energy",2009,1
"11565","Thermal expansion","Rechargeable battery",2011,1
"11566","Rotational energy","Air pollution",2011,1
"11567","Mechanical system","Energy storage",2008,1
"11568","Statistical significance","Low-pressure area",2010,1
"11569","Photovoltaic system","Anaerobic digestion",2010,1
"11570","Energy storage","Energy consumption",2011,1
"11571","Position sensor","Parallel axis theorem",2014,1
"11572","Ricinoleic acid","Adhesive",2014,1
"11573","Coal mining","Carbon dioxide",2010,1
"11574","Ammonium nitrate","Ammonium hydroxide",2014,1
"11575","Radical polymerization","Hybrid system",2011,1
"11576","Mechanical load","Beaufort scale",2011,1
"11577","Renewable energy","Carbon dioxide",2006,1
"11578","Electrical energy","Anaerobic digestion",2010,1
"11579","Weight loss","Factor of safety",2011,1
"11580","Structural material","Glass fiber",2010,1
"11581","Magnetic core","ISO 2145",2015,1
"11582","Wind power","Rural area",2008,1
"11583","Wind power","Stepper motor",2008,1
"11584","Fossil fuel","Flight control surfaces",2011,1
"11585","Sodium borohydride","Aqueous solution",2012,1
"11586","Heat transfer","Eddy current",2014,1
"11587","Electric power conversion","Circuit diagram",2008,1
"11588","Wind farm","Low voltage",2011,1
"11589","Turbine blade","Electric energy consumption",2014,1
"11590","Wind direction","Power engineering",2008,1
"11591","Three Steps","Fractionating column",2009,1
"11592","Wind wave","Wind direction",2008,1
"11593","Separation process","Catalyst support",2013,1
"11594","Venturi effect","Coriolis force",2006,1
"11595","Wind speed","Feedback",2011,1
"11596","Common practice period","Angle of incidence (optics)",2013,1
"11597","Rotational speed","Absolute value",2009,1
"11598","Magnetic flux","Electrical connection",2011,1
"11599","Electrical grid","Block diagram",2015,1
"11600","Distilled water","Arid",2011,1
"11601","Electric power system","Coachbuilder",2011,1
"11602","Surface layer","Propylene glycol",2011,1
"11603","Power control","Current source",2011,1
"11604","Electricity generation","Alternative Way",2011,1
"11605","Electromotive force","Battery (electricity)",2012,1
"11606","Regional transmission organization (North America)","Ancillary services (electric power)",2011,1
"11607","Rotational speed","Mass distribution",2011,1
"11608","Renewable energy","Hydrogen production",2015,1
"11609","Rotational energy","Hydropower",2010,1
"11610","Green wall","Air pollution",2011,1
"11611","Waste heat","Heat exchanger",2008,1
"11612","Pressure swing adsorption","Partial oxidation",2011,1
"11613","Heat pump","Electric power distribution",2008,1
"11614","Wind speed","Control theory",2011,1
"11615","Glass transition","Compressive stress",2014,1
"11616","Infective endocarditis","Bacillus cereus",2010,1
"11617","Steam accumulator","Daylight saving time",2011,1
"11618","Fuel gas","External combustion engine",2011,1
"11619","Signaling (telecommunications)","Position sensor",2014,1
"11620","Laminar flow","Initial point",2011,1
"11621","Fluid dynamics","Cooling flow",2009,1
"11622","Rotational speed","Electric power distribution",2013,1
"11623","Low-pass filter","Current density",2014,1
"11624","Steel casting","Air cooling",2011,1
"11625","Hull (watercraft)","Heat exchanger",2012,1
"11626","Energy transformation","Energy storage",2015,1
"11627","Wind speed","Friction",2011,1
"11628","Wind speed","Electric generator",2011,1
"11629","Tidal power","Mechanical energy",2009,1
"11630","Heat exchanger","Cooling capacity",2014,1
"11631","Electrical energy","Change detection",2013,1
"11632","Rate ratio","Carbon monoxide",2012,1
"11633","Wind power","Lattice tower",2014,1
"11634","Lubricant","Heat exchanger",2011,1
"11635","Silicic acid","Glass fiber",2006,1
"11636","Solar cell","Electronics",2010,1
"11637","Rate (mathematics)","Magnetic flux",2011,1
"11638","Industrial applicability","Continuous operation",2011,1
"11639","Geological formation","Coal mining",2010,1
"11640","Cerium oxide","Cerium(IV) oxide",2011,1
"11641","Specific power","Dental notation",2013,1
"11642","Induction motor","Cruise control",2014,1
"11643","Heat exchanger","Electricity generation",2015,1
"11644","Solar cell","Motor vehicle",2010,1
"11645","Mechanical energy","Drag (physics)",2008,1
"11646","Wind power","Pneumatocyst",2013,1
"11647","Kinetic energy","High pressure",2014,1
"11648","Pressure","Penetration depth",2015,1
"11649","Phase angle","Control System",2012,1
"11650","Universal joint","Pollution",2007,1
"11651","Wind power","Automobile drag coefficient",2014,1
"11652","Wound, ostomy, and continence nursing","Liquid-crystal display",2010,1
"11653","Tympanic cavity","Gear",2011,1
"11654","Source code","Control System",2010,1
"11655","Machine tool","Hydraulic lift",2013,1
"11656","Neutralization (chemistry)","Furnace",2011,1
"11657","Wind speed","Flight dynamics",2007,1
"11658","Carbonic acid","Carbonate minerals",2011,1
"11659","Natural environment","Electrical energy",2013,1
"11660","Wind power","Power Balance",2013,1
"11661","Lateral pressure theory","Emergency bleeding control",2009,1
"11662","Power electronics","Photovoltaic system",2014,1
"11663","Management system","Energy management system",2014,1
"11664","Cost reduction","Channel surface",2011,1
"11665","Ultimate tensile strength","Bond strength",2013,1
"11666","Reference range","Optimization problem",2014,1
"11667","Electronic System","Electric vehicle battery",2013,1
"11668","Schnirelmann density","Flame retardant",2015,1
"11669","Turbine blade","Rankine cycle",2012,1
"11670","Natural resource","Beaufort scale",2015,1
"11671","Mumbai Police Detection Unit","Cost reduction",2015,1
"11672","Hydroelectricity","Battery (electricity)",2015,1
"11673","Line voltage","Color temperature",2011,1
"11674","Environmental flow","Electrical energy",2011,1
"11675","Surface roughness","Drop (liquid)",2011,1
"11676","Rotational speed","Mean",2011,1
"11677","Thermal energy","Carbon monoxide",2009,1
"11678","Solar chimney","Fluid dynamics",2011,1
"11679","Wind power","Duct (flow)",2014,1
"11680","Electric power transmission","Electric brake",2007,1
"11681","Preventive maintenance","Feasibility study",2014,1
"11682","Skin infection","Clostridium difficile infection",2010,1
"11683","Salinity","Electricity generation",2011,1
"11684","Volume Five","Absorptive capacity",2012,1
"11685","Generation time","Active Power",2014,1
"11686","Signal generator","Rotational speed",2011,1
"11687","Structural element","Electrical energy",2014,1
"11688","Wave power","Fossil fuel",2006,1
"11689","Operating temperature","Concentrated solar power",2011,1
"11690","Energy storage device","Electric power system",2011,1
"11691","Fluid dynamics","Decibel",2010,1
"11692","Oxide","Amorphous carbon",2011,1
"11693","Principal direction","Linear form",2011,1
"11694","Solar cell","HVDC converter station",2011,1
"11695","Wind farm","Supervisory control",2009,1
"11696","Structural integrity and failure","Stress (mechanics)",2009,1
"11697","Wind farm","Laminar flow",2011,1
"11698","Motor drive","Alternating current",2011,1
"11699","System configuration","Motor vehicle",2014,1
"11700","Scattering theory","Radiation pattern",2008,1
"11701","Test method","Packaging and labeling",2011,1
"11702","Phase angle","Electric power system",2011,1
"11703","Structure space","Compactification (physics)",2011,1
"11704","Rotation around a fixed axis","Helicopter rotor",2013,1
"11705","Ocean current","Decision-making",2009,1
"11706","Mechanical load","Active Power",2013,1
"11707","Reference range","Electric machine",2011,1
"11708","Residential area","Electricity generation",2011,1
"11709","Mass excess","1 (number)",2011,1
"11710","Resonance (chemistry)","Block diagram",2014,1
"11711","Light","Energy charge",2011,1
"11712","Wind power","Agricultural machinery",2014,1
"11713","Electrical contacts","Brush (electric)",2014,1
"11714","Wafer (electronics)","Fatigue (material)",2011,1
"11715","Rotational speed","Motor controller",2010,1
"11716","Vehicle","Emissions trading",2011,1
"11717","Heat exchanger","Channel capacity",2014,1
"11718","Health","Air pollution",2011,1
"11719","Wound, ostomy, and continence nursing","Drug delivery",2010,1
"11720","Wind speed","Measuring instrument",2012,1
"11721","District heating","002 - Early Stage",2011,1
"11722","Structural element","Energy development",2011,1
"11723","Wind direction","Electric power system",2007,1
"11724","Solar panel","Distribution board",2015,1
"11725","Liquid-crystal display","Drug delivery",2010,1
"11726","Turbine blade","Laminar flow",2010,1
"11727","Turbine blade","Side lobe",2014,1
"11728","Personal area network","Metropolitan area network",2011,1
"11729","Carbon monoxide","Anaerobic respiration",2013,1
"11730","Strain gauge","Normal (geometry)",2011,1
"11731","Kinetic energy","Epicyclic gearing",2011,1
"11732","Thermal insulation","Synchronous motor",2012,1
"11733","Flight control surfaces","Brake pad",2012,1
"11734","Leading edge","Alternator",2014,1
"11735","Wind direction","Pressure measurement",2014,1
"11736","Renewable energy","Heat Generation",2015,1
"11737","Wind farm","Electric power quality",2015,1
"11738","Energy management system","Electric power industry",2011,1
"11739","Rolling-element bearing","Electrical energy",2012,1
"11740","Kinetic energy","Diesel fuel",2011,1
"11741","User equipment","Environmental flow",2011,1
"11742","Phase detector","Optical fiber",2014,1
"11743","Energy management system","Control System",2014,1
"11744","Wind power","Storage tank",2013,1
"11745","Horizontal plane","Electromagnetic field",2006,1
"11746","Industrial applicability","Electric machine",2014,1
"11747","Turbine blade","Planetary equilibrium temperature",2008,1
"11748","Dimethyl ether","Diethyl ether",2013,1
"11749","Suburb","Photovoltaic system",2013,1
"11750","Cutaneous condition","Capacity loss",2011,1
"11751","Wave farm","Mechanical energy",2010,1
"11752","Electric generator","Alternator",2011,1
"11753","Magnetic core","Electrical energy",2007,1
"11754","Wind gradient","Frequency domain",2011,1
"11755","Structural integrity and failure","Light",2011,1
"11756","Water turbine","Steam turbine",2012,1
"11757","Source field","Energy storage",2011,1
"11758","Rotational energy","Fluid dynamics",2006,1
"11759","Functional group","Auxiliary electrode",2011,1
"11760","Vertical displacement","Horizontal and vertical",2015,1
"11761","Flow diagram","Data link",2011,1
"11762","Plain bearing","Bearing pressure",2011,1
"11763","Windcatcher","Electrical energy",2012,1
"11764","Wind speed","Volume fraction",2008,1
"11765","Motion system","Kinetic energy",2012,1
"11766","Partial pressure","Hydrostatics",2013,1
"11767","Energy supply","Electrical grid",2011,1
"11768","Wind power","Frequency changer",2014,1
"11769","Wave power","Hydrogen sulfide",2014,1
"11770","Heat exchanger","Electricity generation",2008,1
"11771","Wound, ostomy, and continence nursing","Infusion set",2010,1
"11772","System requirements","Power module",2011,1
"11773","Transition metal","Renewable fuels",2013,1
"11774","Processing medium","Coolant",2007,1
"11775","Loss factor","Electric power conversion",2011,1
"11776","Systems design","Control theory",2014,1
"11777","Model of computation","Electric machine",2015,1
"11778","Terminal velocity","Pitch control",2007,1
"11779","Electricity generation","Drag (physics)",2010,1
"11780","Management system","AAA battery",2011,1
"11781","Liquid-crystal display","Infusion set",2010,1
"11782","Sodium borohydride","Ammonium hydroxide",2012,1
"11783","Wind speed","Preventive maintenance",2009,1
"11784","Carbon dioxide","Body of water",2013,1
"11785","Wind power","Altitude",2014,1
"11786","Energy transformation","Automation",2011,1
"11787","Set (music)","Electricity generation",2012,1
"11788","Wind power","Epicyclic gearing",2012,1
"11789","Refractory metals","Electric heating",2011,1
"11790","Rotational speed","Pulse-width modulation",2008,1
"11791","Wind power","Water level",2010,1
"11792","Ground and neutral","Contact Point",2014,1
"11793","Disc brake","Brake force",2013,1
"11794","Euler angles","Electric generator",2011,1
"11795","Natural gas storage","Electrical energy",2010,1
"11796","Water vapor","Energy conservation",2011,1
"11797","Vascular resistance","Beaufort scale",2011,1
"11798","ISO 2145","Electric machine",2015,1
"11799","Square (algebra)","Energy transformation",2015,1
"11800","Source code","Beaufort scale",2010,1
"11801","Sulfur dioxide","Carbon monoxide",2011,1
"11802","Servo drive","Current collector",2012,1
"11803","Hydroelectricity","Energy storage device",2015,1
"11804","Voltage drop","Electric power conversion",2011,1
"11805","Water cooling","Circulator pump",2014,1
"11806","Signaling (telecommunications)","Lookup table",2011,1
"11807","Signaling (telecommunications)","Pneumatic actuator",2010,1
"11808","Fuel cell","Beaufort scale",2011,1
"11809","Sulfur dioxide","Ammonium hydroxide",2012,1
"11810","Turbine blade","Dynamic pressure",2014,1
"11811","Energy storage device","Energy consumption",2011,1
"11812","Image resolution","Image quality",2007,1
"11813","Renewable energy","P-wave",2014,1
"11814","Galvanic isolation","Cooling capacity",2014,1
"11815","Water","Tension-leg platform",2010,1
"11816","Turbulence","Linear form",2011,1
"11817","Rolling-element bearing","Physical plant",2011,1
"11818","Transmission line","Fuel cell",2009,1
"11819","HVAC","Harmonic oscillator",2007,1
"11820","Mechanical energy","Beaufort scale",2010,1
"11821","Synchronous motor","Electrical contacts",2011,1
"11822","Self storage","Energy transformation",2015,1
"11823","Rolling-element bearing","Gear oil",2015,1
"11824","Lithium oxide","Barium carbonate",2013,1
"11825","Rubber mat","Butt welding",2013,1
"11826","Plating","Injection moulding",2015,1
"11827","Value premium","Power-on reset",2011,1
"11828","High voltage","High frequency",2014,1
"11829","Wind power","Deadweight loss",2010,1
"11830","Electric potential","Duty cycle",2011,1
"11831","Wind power","Pollution",2013,1
"11832","Electricity generation","Electrical conductor",2013,1
"11833","Energy development","Electricity generation",2010,1
"11834","Induction motor","Cruise control",2015,1
"11835","Turbine blade","Spark gap",2013,1
"11836","Control unit","Artificial neural network",2011,1
"11837","Solar irradiance","Radiant intensity",2011,1
"11838","Heat exchanger","Body of water",2011,1
"11839","Normal (geometry)","Horizontal and vertical",2015,1
"11840","Pressure drop","Liquid",2011,1
"11841","Tidal power","Electric power transmission",2012,1
"11842","Transmission line","Hydraulics",2011,1
"11843","Governor (device)","Entry point",2011,1
"11844","Spiral galaxy","Internal flow",2011,1
"11845","Magnetic flux","Electrical energy",2007,1
"11846","Vanadium redox battery","Chemical energy",2011,1
"11847","Sand casting","Particle size",2014,1
"11848","Mechanical energy","Base station",2007,1
"11849","Strength of materials","Room temperature",2011,1
"11850","Semiconductor device","Plant cell",2011,1
"11851","Partial oxidation","Anaerobic digestion",2011,1
"11852","Ray (optics)","Photovoltaic system",2011,1
"11853","Polar coordinate system","Angle",2013,1
"11854","Projection (set theory)","Polar coordinate system",2007,1
"11855","Wind power","Base station",2010,1
"11856","Wind power","Control theory",2011,1
"11857","Transient state","Supply network",2014,1
"11858","Heat transfer","Eddy current",2015,1
"11859","Volumetric flow rate","Heat exchanger",2011,1
"11860","Surface area","Fluid parcel",2011,1
"11861","Linear-motion bearing","Epicyclic gearing",2011,1
"11862","Mechanical system","Control System",2012,1
"11863","Fuel cell","Compressed hydrogen",2011,1
"11864","Tension member","Flight control surfaces",2014,1
"11865","Environmental issue","Energy development",2011,1
"11866","Wind power","Power module",2011,1
"11867","Measuring instrument","Computational fluid dynamics",2011,1
"11868","Wind farm","Geographical distance",2011,1
"11869","Phenol formaldehyde resin","Fumed silica",2014,1
"11870","Transposable element","Rotational speed",2014,1
"11871","Wind direction","Drive wheel",2015,1
"11872","Power module","Endless (Frank Ocean album)",2011,1
"11873","Storage tank","Energy supply",2011,1
"11874","Wind power","Water channel",2013,1
"11875","Electrochemical cell","Body of water",2011,1
"11876","Wind power","Functional genomics",2013,1
"11877","Pollution","Human skin",2011,1
"11878","Lift coefficient","Eigenvalues and eigenvectors",2014,1
"11879","Syncword","Signaling (telecommunications)",2012,1
"11880","Surface (topology)","Curvature",2014,1
"11881","Electrolytic cell","Electrical energy",2011,1
"11882","Wind speed","Transformer",2011,1
"11883","Solar thermal energy","Electric power quality",2014,1
"11884","Wind direction","Angular displacement",2011,1
"11885","Energy conservation","Dynamical system",2011,1
"11886","Rolling (metalworking)","Rolling-element bearing",2014,1
"11887","Wind farm","Periodic function",2007,1
"11888","Helicopter rotor","Electrical energy",2011,1
"11889","Normal (geometry)","Brake pad",2014,1
"11890","Primary source","Heat sink",2011,1
"11891","Wind power","Eigenvalues and eigenvectors",2011,1
"11892","Sulfur oxide","Pollution",2015,1
"11893","Turbine blade","Euler angles",2011,1
"11894","Telecommunications network","Supervisory control",2008,1
"11895","Renewable energy","Energy price",2011,1
"11896","Renewable energy","Carbon dioxide",2010,1
"11897","Wave","Energy development",2012,1
"11898","Wind speed","Automobile drag coefficient",2014,1
"11899","Wind power","Physical property",2011,1
"11900","Utility frequency","Electrical network",2015,1
"11901","Pole position","Climate change",2011,1
"11902","Transformer","Electrical energy",2013,1
"11903","Building insulation materials","Antimicrobial resistance",2015,1
"11904","Linear alternator","Kinetic energy",2010,1
"11905","Fuel cell","Energy storage",2009,1
"11906","Industrial robot","Hydraulic lift",2013,1
"11907","Debye–Waller factor","Centrifugal force",2011,1
"11908","Synchronous motor","Cruise control",2012,1
"11909","Wind speed","Turn (geometry)",2011,1
"11910","Renewable resource","Combinatoriality",2013,1
"11911","Solar cell","Electricity generation",2011,1
"11912","Linear combination","Data set",2014,1
"11913","Hydrogen storage","Environmental issue",2011,1
"11914","Supply network","Electric power distribution",2011,1
"11915","Wind power","Oscillating Water Column",2012,1
"11916","Ground and neutral","Contact Point",2015,1
"11917","Water turbine","Centrifugal pump",2014,1
"11918","Management system","Base station",2011,1
"11919","Zinc dithiophosphate","Acid salt",2011,1
"11920","Wind power","Supervisory control",2014,1
"11921","Rotational speed","Elasticity (physics)",2013,1
"11922","Carbon dioxide","Anaerobic digestion",2011,1
"11923","Wind power","Wave farm",2010,1
